# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
397	pancam	PanCam	Panchromatic Camera	TÜBITAK-BILTEN	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	[]	1	None|None|None|None|None
398	panmux	PANMUX	Panchromatic and Multispectral imager	CAST	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	3	
399	pastec	PASTEC	Technology Demonstration Passenger	CNES	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	[]	1	None|None
400	pem_vmag	PEM/VMAG	Particle Environment Monitor - Vector Magnetometer	NASA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Magnetometer at LEO']}}}}	1	None
401	pmr	PMR	Pressure Modulator Radiometer	UKSA	Cross-nadir infrared sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir infrared sounder, possibly including VIS channels	[]	1	None
405	polder	POLDER	Polarization and Directionality of the Earth’s Reflectances	CNES	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'36': {'name': 'Multi-angle, multi-polarization radiometers', 'wigos-filters': ['Multi-angle, multi-polarization radiometer ']}}}}	0	
406	poseidon_2	Poseidon-2	Poseidon 2	CNES	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['Conventional radar altimeter']}}}}	1	
407	poseidon_3	Poseidon-3	Poseidon 3	CNES	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['Conventional radar altimeter']}}}}	1	
408	poseidon_3b	Poseidon-3B	Poseidon 3B	CNES	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['High-altitude, inclined, high-precision orbit altimeters ', 'Conventional radar altimeter']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]']}}}}	1	
409	pr	PR	Precipitation Radar	JAXA	Cloud and precipitation radar	Earth observation instrument|Active and radio-occultation sensor|Cloud and precipitation radar	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'16': {'name': 'Precipitation radars and cloud radars', 'wigos-filters': ['Precipitation radar and cloud radar']}}}}	1	
410	prare	PRARE	Precise Range And Range-rate Equipment	DLR	Positioning system	Other payload component|Positioning system	[]	3	None|None
411	prism	PRISM	Panchromatic Remote-sensing Instrument for Stereo Mapping	JAXA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	None|None|None|None|None|None|None|None
412	pss	PSS	Panchromatic film-making system	Roscosmos	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	[]	0	None|None|None|None|None
413	r225	R225	Passive Microwave Radiometer	Roscosmos	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	[]	1	
414	r600	R600	Passive Microwave Radiometer	Roscosmos	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	[]	1	None|None|None
415	ra	RA	Radar Altimeter	ESA	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['High-altitude, inclined, high-precision orbit altimeters ', 'Conventional radar altimeter']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]']}}}}	2	None|None|None|None|None|None
416	ra_2	RA-2	Radar Altimeter - 2	ESA	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['Conventional radar altimeter']}}}}	1	
417	mwri_hy_2	MWRI (HY-2)	Microwave Radiometer Imager	NSOAS	Microwave conical scanning radiometer	Earth observation instrument|Passive microwave radiometer|Conical scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'12': {'name': 'MW imagery for surface temperature', 'wigos-filters': ['MW imager for surface temperature']}}}}	3	
418	radiomet	Radiomet	Radio-occultation sounder	Roscosmos	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}}	0	
419	rbv	RBV	Return-Beam Vidicon camera	NASA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	3	
420	ralcam_1	RALCam-1	Rutherford Appleton Laboratory Camera - 1	UKSA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	
421	reis	REIS	RapidEye Earth Imaging System	DLR	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 4': {'name': 'Subcomponent 4', 'wigos-classification': {'57': {'name': 'High-resolution optical observation constellation (commercial)', 'wigos-filters': ['High-resolution optical observation constellation (commercial)']}}}}	1	
423	ris	RIS	Retroreflector In Space	JAXA	Positioning system	Other payload component|Positioning system	[]	1	None|None|None|None
424	rlsbo	RLSBO	Side Looking Real Aperture Radar	Roscosmos	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
427	rm_08_okean	RM-08  (Okean)	Passive Microwave Scanning Radiometer	Roscosmos	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	[]	0	
429	rmk_2	RMK-2	Radiation Measurement Complex	Roscosmos	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at LEO', 'Proton sensor at LEO']}}}}	0	None|None
431	rms_platform	RMS-platform	Radiation Measurement System - platform	Roscosmos	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	[]	1	None|None|None
433	rosa	ROSA	Radio Occultation Sounder of the Atmosphere	ASI	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]']}}}}	2	
436	rsi	RSI	Remote Sensing Instrument	NSPO	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	
437	saber	SABER	Sounding of the Atmosphere using Broadband Emission Radiometry	NASA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR/MW scanning limb sounder']}}}}	1	
438	sage_ii	SAGE-II	Stratospheric Aerosol and Gas Experiment - II	NASA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR occultation limb sounder']}}}}	1	
440	sam_ii	SAM-II	Stratospheric Aerosol Measurement - II	NASA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR occultation limb sounder']}}}}	1	
441	sams	SAMS	Stratospheric and Mesospheric Sounder	NASA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR/MW scanning limb sounder']}}}}	1	
442	saphir	SAPHIR	Sondeur Atmospherique du Profil d’Humidite Intertropicale par Radiometrie	CNES	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'17': {'name': 'MW sounder and imagery in inclined orbits ', 'wigos-filters': ['\tMW sounder and imager in inclined orbits']}}}}	1	None|None|None|None|None
443	sar	SAR	Synthetic Aperture Radar	NASA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	1	
444	sar_jers	SAR (JERS)	Synthetic Aperture Radar	JAXA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	1	
445	sar_radarsat_1	SAR (RadarSat-1)	Synthetic Aperture Radar (C-band)	CSA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	2	
446	sar_rcm	SAR RCM	Synthetic Aperture Radar (C-band) for RadarSat constellation	CSA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
447	sar_2000	SAR-2000	Synthetic Aperture Radar 2000 (X-band)	ASI	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
448	csg_sar	CSG-SAR	COSMO-SkyMed Second Generation Synthetic Aperture Radar	ASI	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
449	sar_c_risat	SAR-C (RISAT)	Synthetic Aperture Radar (C-band)	ISRO	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	3	
450	sar_c_sentinel_1	SAR-C (Sentinel-1)	Synthetic Aperture Radar (C-band)	ESA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
451	sar_l	SAR-L	Synthetic Aperture Radar (L-band)	CONAE	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'8': {'name': 'MW imagery [in SSO]', 'wigos-filters': ['Low-frequency SAR for vegetation mapping']}}}}	0	
453	sar_s	SAR-S	Synthetic Aperture Radar (S-band)	CAST	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'47': {'name': 'Radar and lidar for vegetation mapping', 'wigos-filters': ['Low-frequency SAR for vegetation mapping']}}}}	3	
454	s_rsat	S&RSAT	Search & Rescue Satellite-Aided Tracking System	NOAA	Search & rescue system	Other payload component|Search and Rescue system	[]	0	
458	sar_travers	SAR-Travers	Two-frequency SAR	Roscosmos	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	1	
459	sar_x	SAR-X	Synthetic Aperture Radar (X-band)	DLR	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	2	
460	sar_x_risat_2	SAR-X (RISAT-2)	Synthetic Aperture Radar (X-band)	ISA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
461	sar_x_paz_seosar	SAR-X (Paz (SEOSAR))	Synthetic Aperture Radar (X-band)	CDTI	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	1	
462	meteosar	MeteoSAR	Meteorological Synthetic Aperture Radar	Roscosmos	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
463	sass	SASS	SeaSat-A Scatterometer System	NASA	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]']}}}}	1	None|None|None|None|None|None|None|None
464	sbus	SBUS	Solar Backscatter Ultraviolet Sounder	CMA	Cross-nadir scanning SW sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir shortwave (UV/VIS) sounder	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'15': {'name': 'UV/VIS/NIR sounders, nadir and limb', 'wigos-filters': ['UV/VIS/NIR nadir sounder']}}}}	3	
465	sbuv	SBUV	Solar Backscatter Ultraviolet Spectrometer	NASA	Cross-nadir scanning SW sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir shortwave (UV/VIS) sounder	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'15': {'name': 'UV/VIS/NIR sounders, nadir and limb', 'wigos-filters': ['UV/VIS/NIR nadir sounder']}}}}	1	
466	sbuv_2	SBUV/2	Solar Backscatter Ultraviolet / 2	NOAA	Cross-nadir scanning SW sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir shortwave (UV/VIS) sounder	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'15': {'name': 'UV/VIS/NIR sounders, nadir and limb', 'wigos-filters': ['UV/VIS/NIR nadir sounder']}}}}	0	
467	sca_scatterometer	SCA (Scatterometer)	Scatterometer	ESA	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]', 'Scatterometer [in inclined orbits]']}}}}	3	
468	scams	SCAMS	Scanning Microwave Spectrometer	NASA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'6': {'name': 'MW sounders [in SSO]', 'wigos-filters': ['MW sounder [in SSO] ']}}}}	1	None|None|None|None
469	sca_grace	SCA (GRACE)	Star Camera Assembly	DNSC	Positioning system	Other payload component|Positioning system	[]	0	None|None|None
471	scarab	ScaRaB	Scanner for Radiation Budget	CNES	Broad band radiometer	Earth observation instrument|Passive optical radiometer or spectrometer|Broadband Earth radiation radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['Broadband radiometer (for ERB)']}}}}	3	None|None
474	oscat	OSCAT	OceanSat Scatterometer	ISRO	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]']}}}}	2	None|None|None|None|None|None|None|None
475	hscat	HSCAT	HY Scatterometer	NSOAS	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]', 'Scatterometer [in inclined orbits]']}}}}	0	None|None|None|None|None|None|None|None
476	scat_mp	SCAT-MP	Scatterometer for Meteor-MP	RosHydroMet	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]', 'Scatterometer [in inclined orbits]']}}}}	2	None|None|None|None|None|None|None|None
477	sciamachy_limb	SCIAMACHY-limb	Scanning Imaging Absorption Spectrometer for Atmospheric Cartography (limb-scanning component)	ESA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR/MW scanning limb sounder', 'UV/VIS/NIR/IR occultation limb sounder']}}}}	1	
478	sciamachy_nadir	SCIAMACHY-nadir	Scanning Imaging Absorption Spectrometer for Atmospheric Cartography (nadir-scanning component)	ESA	Cross-nadir scanning SW sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir shortwave (UV/VIS) sounder	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'15': {'name': 'UV/VIS/NIR sounders, nadir and limb', 'wigos-filters': ['UV/VIS/NIR nadir sounder']}}}}	1	
479	scr_nimbus_4	SCR (Nimbus-4)	Selective Chopper Radiometer	UKSA	Cross-nadir infrared sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir infrared sounder, possibly including VIS channels	[]	1	None
480	scmr	SCMR	Surface Composition Mapping Radiometer	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'7': {'name': 'VIS/IR imagery; realisation of a Day/Night band [in SSO]', 'wigos-filters': ['VIS/IR imager [in SSO] ']}}}}	1	
481	seawifs	SeaWiFS	Sea-viewing Wide Field-of-view Sensor	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'20': {'name': 'Narrow-band or hyperspectral imagers', 'wigos-filters': ['Narrow-band imager (for ocean colour)']}}}}	1	
482	seawinds	SeaWinds	SeaWinds	NASA	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]']}}}}	2	None|None|None|None|None|None|None|None
484	see	SEE	Solar Extreme Ultraviolet Experiment	NASA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'27': {'name': 'X-ray spectrograph on GEO orbit', 'wigos-filters': ['X-ray spectrometer at LEO']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar X-ray spectrometer [from L1, GEO, LEO]', 'Solar EUV spectrometer [from L1, GEO, LEO]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'51': {'name': 'UV spectral imagery (e.g. GEO, HEO, MEO, LEO)', 'wigos-filters': ['X-ray spectrometer [from GEO, HEO, MEO, LEO]', 'EUV spectrometer [from GEO, HEO, MEO, LEO]']}}}}	1	None|None|None
488	rms_himawari	RMS (Himawari)	Radiation Monitors for Space weather	JMA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at GEO', 'Proton sensor at GEO']}}}}	0	None|None
489	sem_fy_2	SEM (FY-2)	Space Environment Monitor	CMA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at GEO', 'Proton sensor at GEO', 'Alpha-particle sensor at GEO']}}}}	0	None|None|None
490	sep	SEP	Space Environment Package	CMA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at GEO', 'Proton sensor at GEO', 'Magnetometer at GEO']}}}}	0	None|None|None
492	sem_hepd	SEM/HEPD	Space Environment Monitor - High Energy Particle Detector	CMA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at LEO', 'Proton sensor at LEO', 'Alpha-particle sensor at LEO']}}}}	0	None|None|None
499	sem_ssb_x_2	SEM/SSB/X-2	SEM / Special Sensor Gamma/X-ray Detector	DoD	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'27': {'name': 'X-ray spectrograph on GEO orbit', 'wigos-filters': ['X-ray spectrometer at LEO']}}}}	0	
502	severjanin_m	Severjanin-M	X-band Synthetic Aperture Radar	RosHydroMet	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	0	
503	seviri	SEVIRI	Spinning Enhanced Visible Infra-Red Imager	EUMETSAT	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'1': {'name': 'Multi-spectral VIS/IR imagery With rapid repeat cycles [in GEO]', 'wigos-filters': ['Multi-spectral VIS/IR imager with rapid repeat cycles [in GEO] ']}}}}	0	
504	sfm_2	SFM-2	Spectrophotometer - 2	Roscosmos	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	[]	1	
505	sgli	SGLI	Second-generation Global Imager	JAXA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'20': {'name': 'Narrow-band or hyperspectral imagers', 'wigos-filters': ['Narrow-band imager (for ocean colour)']}}}}	1	
