# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
19	alt_seasat	ALT (SeaSat)	Radar Altimeter	NASA	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['High-altitude, inclined, high-precision orbit altimeters ', 'Conventional radar altimeter']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]']}}}}	1	None|None|None|None|None|None
20	alt_high	ALT (high)	Radar Altimeter	NSOAS	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['High-altitude, inclined, high-precision orbit altimeters ']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]']}}}}	3	
21	altika	AltiKa	Ka-band Altimeter	CNES	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['Conventional radar altimeter']}}}}	1	None|None|None|None|None|None
22	poseidon_3c	Poseidon-3C	Poseidon-3C Altimeter	NASA	Radar altimeter	Earth observation instrument|Active and radio-occultation sensor|Radar altimeter	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'10': {'name': 'Wide-swath radar altimeters, and high altitude, inclined, high-precision orbit altimeters', 'wigos-filters': ['Conventional radar altimeter']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]']}}}}	1	
23	ami_sar	AMI-SAR	Active Microwave Instrument - Synthetic Aperture Antenna	ESA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	2	
24	ami_scat	AMI-SCAT	Active Microwave Instrument - Scatterometer	ESA	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]']}}}}	2	
26	amr	AMR	Advanced Microwave Radiometer	NASA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	[]	2	None
27	amsr	AMSR	Advanced Microwave Scanning Radiometer	JAXA	Microwave conical scanning radiometer	Earth observation instrument|Passive microwave radiometer|Conical scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'8': {'name': 'MW imagery [in SSO]', 'wigos-filters': ['MW imager [in SSO]']}}}}	1	
28	amsr2	AMSR2	Advanced Microwave Scanning Radiometer - 2	JAXA	Microwave conical scanning radiometer	Earth observation instrument|Passive microwave radiometer|Conical scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'8': {'name': 'MW imagery [in SSO]', 'wigos-filters': ['MW imager [in SSO]']}, '12': {'name': 'MW imagery for surface temperature', 'wigos-filters': ['MW imager for surface temperature']}}}}	1	
29	amsr_e	AMSR-E	Advanced Microwave Scanning Radiometer for EOS	JAXA	Microwave conical scanning radiometer	Earth observation instrument|Passive microwave radiometer|Conical scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'8': {'name': 'MW imagery [in SSO]', 'wigos-filters': ['MW imager [in SSO]']}, '12': {'name': 'MW imagery for surface temperature', 'wigos-filters': ['MW imager for surface temperature']}}}}	1	
30	amsu_a	AMSU-A	Advanced Microwave Sounding Unit - A	NOAA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'6': {'name': 'MW sounders [in SSO]', 'wigos-filters': ['MW sounder [in SSO] ']}, '14': {'name': 'MW cross-track upper stratospheric and mesospheric sounders', 'wigos-filters': ['\tMW cross-track upper stratospheric and mesospheric sounder']}}}}	0	
33	amsu_b	AMSU-B	Advanced Microwave Sounding Unit - B	UKSA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'6': {'name': 'MW sounders [in SSO]', 'wigos-filters': ['MW sounder [in SSO] ']}}}}	3	
34	aopod	AOPOD	Atmosphere Occultation and Precision Orbit Determination	KARI	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]']}}}}	1	
35	aps	APS	Aerosol Polarimetry Sensor	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'36': {'name': 'Multi-angle, multi-polarization radiometers', 'wigos-filters': ['Multi-angle, multi-polarization radiometer ']}}}}	1	
36	harp2	HARP2	Hyper Angular Research Polarimeter 2	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'36': {'name': 'Multi-angle, multi-polarization radiometers', 'wigos-filters': ['Multi-angle, multi-polarization radiometer ']}}}}	2	None|None|None|None|None|None
37	apt	APT	Automatic Picture Transmission	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	[]	0	None|None|None|None
41	aquarius	Aquarius	Aquarius	NASA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'13': {'name': 'Low-frequency MW imagery', 'wigos-filters': ['Low-frequency MW imager']}}}}	1	None|None|None
42	argos	Argos	Argos Data Collection System	CNES	Data collection system	Other payload component|Data Collection System	[]	0	
44	asar	ASAR	Advanced Synthetic Aperture Radar	ESA	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	1	
45	asc	ASC	Advanced Stellar Compass	DNSC	Positioning system	Other payload component|Positioning system	[]	2	None|None
47	ascat	ASCAT	Advanced Scatterometer	ESA	Radar scatterometer	Earth observation instrument|Active and radio-occultation sensor|Scatterometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'9': {'name': 'Scatterometers  [in SSO]', 'wigos-filters': ['Scatterometer [in SSO]']}}}}	3	
48	hiras	HIRAS	Hyperspectral Infrared Atmospheric Sounder	CMA	Cross-nadir infrared sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir infrared sounder, possibly including VIS channels	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'5': {'name': 'IR hyperspectral sounders [in SSO]', 'wigos-filters': ['IR hyperspectral sounder [in SSO] ']}}}}	1	
