# GeoNames 一级行政区（admin1）参考表
# 来源: https://download.geonames.org/export/dump/admin1CodesASCII.txt（配合 countryInfo.txt 做 ISO2→ISO3 映射）
# 许可: Creative Commons Attribution 4.0 (CC BY 4.0)
# 署名: GeoNames, https://www.geonames.org/
# 生成: python scripts/fetch_geonames_admin1.py    —— 请勿手工编辑
#
# 每行 5 列，制表符分隔: iso3	geonames_code	name	asciiname	geonameid
# geonames_code 形如 KE.01；geonameid 全局唯一，实体 id 以它为准
# 未匹配到 UN M49 国家表而跳过的 ISO2: XK=7
ARG	AR.16	Rio Negro	Rio Negro	3838830
ARG	AR.17	Salta	Salta	3838231
ARG	AR.18	San Juan	San Juan	3837152
ARG	AR.19	San Luis	San Luis	3837029
ARG	AR.20	Santa Cruz	Santa Cruz	3836350
ARG	AR.21	Santa Fe	Santa Fe	3836276
ARG	AR.22	Santiago del Estero	Santiago del Estero	3835868
ARG	AR.23	Tierra del Fuego	Tierra del Fuego	3834450
ARG	AR.24	Tucuman	Tucuman	3833578
ARM	AM.01	Aragatsotn	Aragatsotn	828259
ARM	AM.02	Ararat	Ararat	409313
ARM	AM.03	Armavir	Armavir	828260
ARM	AM.04	Gegharkunik	Gegharkunik	828261
ARM	AM.05	Kotayk	Kotayk	828262
ARM	AM.06	Lori	Lori	828263
ARM	AM.07	Shirak	Shirak	828264
ARM	AM.08	Syunik	Syunik	409314
ARM	AM.09	Tavush	Tavush	828265
ARM	AM.10	Vayots Dzor	Vayots Dzor	409315
ARM	AM.11	Yerevan	Yerevan	616051
ASM	AS.010	Eastern District	Eastern District	5881219
ASM	AS.020	Manu'a	Manu'a	5881436
ASM	AS.030	Rose Island	Rose Island	7309441
ASM	AS.040	Swains Island	Swains Island	5881199
ASM	AS.050	Western District	Western District	5880873
ATF	TF.02	Crozet	Crozet	936339
ATF	TF.03	Kerguelen	Kerguelen	1546558
ATF	TF.01	Saint-Paul-et-Amsterdam	Saint-Paul-et-Amsterdam	1547221
ATF	TF.04	Terre-Adélie	Terre-Adelie	6690917
ATF	TF.05	Îles Éparses	Iles Eparses	6690916
ATG	AG.01	Barbuda	Barbuda	3576390
ATG	AG.09	Redonda	Redonda	3576037
ATG	AG.03	Saint George Parish	Saint George Parish	3576024
